Library,month,visits
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2009-09,2658
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2009-10,2561
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2009-11,2452
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2009-12,2119
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2010-01,2257
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2010-02,2367
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2010-03,2756
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2010-04,2749
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2010-05,2410
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2010-06,3022
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2010-07,2970
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2010-08,2648
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2010-09,2615
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2010-10,2534
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2010-11,2700
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2010-12,1757
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2011-01,2359
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2011-02,2306
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2011-03,2613
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2011-04,2178
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2011-05,2503
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2011-06,2388
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2011-07,2659
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2011-08,2503
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2011-09,2946
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2011-10,2520
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2011-11,2789
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2011-12,2089
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2012-01,2275
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2012-02,2106
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2012-03,2691
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2012-04,2378
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2012-05,2390
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2012-06,2086
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2012-07,2466
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2012-08,2365
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2012-09,2342
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2012-10,2438
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2012-11,2267
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2012-12,1722
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2013-01,2051
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2013-02,2000
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2013-03,2032
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2013-04,2026
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2013-05,2314
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2013-06,783
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2014-06,439
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2014-07,1140
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2014-08,1188
